SWG,Frequency,Tension,Inharmonicity
24.0,196.0,140.21517443903002,1.7155029294866101e-06
25.0,196.0,115.79740456678596,1.1700356151740146e-06
26.0,196.0,93.71385449488766,7.66318010510516e-07
27.0,196.0,78.0267487240136,5.312371674344924e-07
28.0,196.0,63.43765061393274,3.511523766926541e-07
29.0,196.0,53.408402871232326,2.4889754488394876e-07
30.0,196.0,44.523829236698404,1.729762380300788e-07
31.0,196.0,39.04949598713711,1.330553361131532e-07
32.0,196.0,33.687790413447935,9.902537227316058e-08
33.0,196.0,28.94935114169649,7.312722594837591e-08
34.0,196.0,24.569884542047454,5.2675378159122565e-08
35.0,196.0,20.357788950766135,3.6162849688353566e-08
22.0,146.83,127.299898439471,8.000279880068328e-06
23.0,146.83,93.70192773263062,4.334570965909235e-06
24.0,146.83,78.6887183010485,3.0568491608717304e-06
25.0,146.83,64.98547239557534,2.0848827052164127e-06
26.0,146.83,52.59219001621117,1.3654996019686182e-06
27.0,146.83,43.78859046358346,9.466098026320378e-07
28.0,146.83,35.60119251579788,6.257172923349601e-07
29.0,146.83,29.972781371610743,4.4350973591705036e-07
30.0,146.83,24.986761030019547,3.0822580304845936e-07
31.0,146.83,21.914566678130022,2.3709087612500805e-07
32.0,146.83,18.905578947742487,1.7645299284263584e-07
33.0,146.83,16.246368098893836,1.303051690760258e-07
34.0,146.83,13.788612617382219,9.386208717959038e-08
35.0,146.83,11.424785700891476,6.443846572599917e-08
