SWG,Frequency,Tension,Inharmonicity
23.0,130.81,128.26478396154783,1.8089102521815842e-12
24.0,130.81,107.71380800077516,1.2756892965792388e-12
25.0,130.81,88.95598819740091,8.700666639728089e-13
26.0,130.81,71.9913245514252,5.698525295300536e-13
27.0,130.81,59.940432728539626,3.950407526520895e-13
28.0,130.81,48.73303439222734,2.6112536488016316e-13
29.0,130.81,41.028529725942576,1.8508620912021732e-13
30.0,130.81,34.20336788117331,1.286292967646235e-13
31.0,130.81,29.99796512833567,9.894315259671344e-14
32.0,130.81,25.879083366560522,7.363765186717012e-14
33.0,130.81,22.23899704935023,5.4379166498300553e-14
34.0,130.81,18.874674847080126,3.917067989558392e-14
35.0,130.81,15.638927663400873,2.6891566017344172e-14
21.0,98.0,127.87896577102433,1.0169265883313951e-11
22.0,98.0,97.80413704051777,5.948477496931007e-12
23.0,98.0,71.990915101008,3.222899478029433e-12
24.0,98.0,60.456310512437746,2.272870289233258e-12
25.0,98.0,49.92814704280175,1.5501804988870653e-12
26.0,98.0,40.40642469210004,1.0152949366952898e-12
27.0,98.0,33.642645084652465,7.038362649486315e-13
28.0,98.0,27.352291355334884,4.652418776208266e-13
29.0,98.0,23.027999650356026,3.2976442366037017e-13
30.0,98.0,19.19725490700758,2.291762639423547e-13
31.0,98.0,16.836897034843386,1.7628505033566677e-13
32.0,98.0,14.525100623819617,1.3119874215970339e-13
33.0,98.0,12.482036760700437,9.688628118044158e-14
34.0,98.0,10.593750462969082,6.978962258480401e-14
35.0,98.0,8.777629205099792,4.7912169205834367e-14
