SWG,Frequency,Tension,Inharmonicity
23.0,130.81,130.18801601633461,1.782187714365265e-12
24.0,130.81,109.32889393388943,1.2568438865161363e-12
25.0,130.81,90.28981501004937,8.572134064368469e-13
26.0,130.81,73.0707792448145,5.614342535256324e-13
27.0,130.81,60.83919354223168,3.8920492335154724e-13
28.0,130.81,49.463748864083115,2.572678310807971e-13
29.0,130.81,41.64372105978023,1.8235198103094141e-13
30.0,130.81,34.71622114813438,1.2672909124423702e-13
31.0,130.81,30.447761606615217,9.748149238789834e-14
32.0,130.81,26.267120372056816,7.254982291913238e-14
33.0,130.81,22.57245375251234,5.357583790230293e-14
34.0,130.81,19.157686119297015,3.8592022124399154e-14
35.0,130.81,15.873421388457633,2.649430424663341e-14
21.0,98.0,129.79641277797163,1.0019038091855905e-11
22.0,98.0,99.27063505842635,5.860602261180889e-12
23.0,98.0,73.07036365500237,3.1752884630130885e-12
24.0,98.0,61.36280651781455,2.23929379632413e-12
25.0,98.0,50.676781312186314,1.5272801051535067e-12
26.0,98.0,41.01228803811769,1.0002962614941094e-12
27.0,98.0,34.14709074336121,6.934386837618904e-13
28.0,98.0,27.762417984653634,4.583689862468825e-13
29.0,98.0,23.37328684234522,3.248929037653874e-13
30.0,98.0,19.48510301980008,2.2579070549775173e-13
31.0,98.0,17.08935339176722,1.7368083936479897e-13
32.0,98.0,14.742893366737329,1.292605789232532e-13
33.0,98.0,12.669195328046579,9.545500657209417e-14
34.0,98.0,10.752595625620291,6.875863952389213e-14
35.0,98.0,8.909243022477296,4.7204375797111814e-14
