SWG,Frequency,Tension,Inharmonicity
25.0,174.62,142.61222976798933,1.0360901792363073e-12
26.0,174.62,115.41486443213626,6.785900826991207e-13
27.0,174.62,96.09514702603191,4.704212460595324e-13
28.0,174.62,78.12769931365578,3.109525250243234e-13
29.0,174.62,65.77601156354598,2.2040380527385395e-13
30.0,174.62,54.834066350706586,1.5317395397194982e-13
31.0,174.62,48.092059704411604,1.178231886738944e-13
32.0,174.62,41.4887615555117,8.768896807656738e-14
33.0,174.62,35.65305744199733,6.475563620226921e-14
34.0,174.62,30.259452124961353,4.664511173030288e-14
35.0,174.62,25.071975371783388,3.2022934113616216e-14
26.0,196.0,145.40720304423544,5.386210638814434e-13
27.0,196.0,121.06695809009884,3.7339006048717187e-13
28.0,196.0,98.43039103649924,2.4681406951755213e-13
29.0,196.0,82.86892607740576,1.749423327967471e-13
30.0,196.0,69.08354707020028,1.2157961065263556e-13
31.0,196.0,60.589525661720145,9.352045196566098e-14
32.0,196.0,52.270258300250525,6.960185018944406e-14
33.0,196.0,44.91805616307423,5.139884969266608e-14
34.0,196.0,38.122839036290124,3.70238828205573e-14
35.0,196.0,31.587316170601326,2.5417740813829436e-14
27.0,261.62,128.97387804271636,5.86192471975621e-13
28.0,261.62,104.85890989175319,3.874783097870579e-13
29.0,261.62,88.28112091066319,2.746454428420173e-13
30.0,261.62,73.59541459660203,1.9087024549425708e-13
31.0,261.62,64.54664605965526,1.4681961497984643e-13
32.0,261.62,55.684044809821074,1.0926932699653041e-13
33.0,261.62,47.85166810898842,8.069207498115083e-14
34.0,261.62,40.61265327943101,5.812452898291288e-14
35.0,261.62,33.65029342235563,3.990381613333331e-14
28.0,523.24,133.37811479249513,9.579633975643007e-13
29.0,523.24,112.29154957826454,6.790064757304219e-13
30.0,523.24,93.61166987526403,4.718888883563461e-13
31.0,523.24,82.10184500775867,3.629824267388552e-13
32.0,523.24,70.82882063547821,2.701467749167339e-13
33.0,523.24,60.86621812721122,1.994951778021781e-13
34.0,523.24,51.65835823320693,1.4370138885166492e-13
35.0,523.24,42.802397083102576,9.865428415819401e-14
