SWG,Frequency,Tension,Inharmonicity
26.0,147.0,86.73504575605466,4.957769860507356e-07
27.0,147.0,72.21614837262608,3.436891187946161e-07
28.0,147.0,58.71349074598386,2.2718148937313488e-07
29.0,147.0,49.43111444687024,1.6102671860183098e-07
30.0,147.0,41.20816913245705,1.119086812168435e-07
31.0,147.0,36.141505857919626,8.608146045295311e-08
32.0,147.0,31.17908295075179,6.406544011073575e-08
33.0,147.0,26.79351211639807,4.7310379218131964e-08
34.0,147.0,22.740181496768137,3.4078854815659016e-08
35.0,147.0,18.841757877253148,2.3395911853296684e-08
22.0,98.0,93.30800310409592,6.5355551490200895e-06
23.0,98.0,68.68143549928507,3.5409795681797006e-06
24.0,98.0,57.67708585394277,2.49718841998092e-06
25.0,98.0,47.632910429152126,1.7031736518527507e-06
26.0,98.0,38.54890922491318,1.1154982186141553e-06
27.0,98.0,32.09606594338937,7.733005172878862e-07
28.0,98.0,26.094884775992828,5.111583510895534e-07
29.0,98.0,21.969384198608996,3.6231011685411967e-07
30.0,98.0,18.314741836647578,2.517945327378979e-07
31.0,98.0,16.062891492408724,1.9368328601914449e-07
32.0,98.0,13.85737020033413,1.4414724024915543e-07
33.0,98.0,11.908227607288032,1.0644835324079692e-07
34.0,98.0,10.10674733189695,7.667742333523278e-08
35.0,98.0,8.37411461211251,5.264080166991753e-08
