SWG,Frequency,Tension,Inharmonicity
26.0,147.0,88.03557124028616,4.884530078477134e-07
27.0,147.0,73.29897412677157,3.3861189317605926e-07
28.0,147.0,59.59385450572757,2.2382539918921353e-07
29.0,147.0,50.17229609370912,1.5864791480430393e-07
30.0,147.0,41.82605402140969,1.1025548478977651e-07
31.0,147.0,36.6834200172656,8.480980251444357e-08
32.0,147.0,31.64658938484611,6.311901883637261e-08
33.0,147.0,27.195260279619724,4.66114758887732e-08
34.0,147.0,23.081153076304453,3.3575417187700415e-08
35.0,147.0,19.124275584755214,2.3050290428191163e-08
