SWG,Frequency,Tension,Inharmonicity
23.0,293.66,89.49900059865658,1.8724197540187935e-05
24.0,293.66,75.15919700636607,1.3204778048134625e-05
25.0,293.66,62.07059954445502,9.006140614058398e-06
26.0,293.66,50.2332082129235,5.8985963061618e-06
27.0,293.66,41.82448727519429,4.0891034147003805e-06
28.0,293.66,34.00432869829529,2.7029328342150484e-06
29.0,293.66,28.628375561018814,1.9158444910972814e-06
30.0,293.66,23.865999286217956,1.3314537629335606e-06
31.0,293.66,20.931605823966922,1.0241697354722315e-06
32.0,293.66,18.05758389934089,7.622301539247803e-07
33.0,293.66,15.517649886113755,5.628837883786499e-07
34.0,293.66,13.170135116312931,4.054593351239165e-07
35.0,293.66,10.91233581875961,2.783570902240715e-07
