SWG,Frequency,Tension,Inharmonicity
31.0,659.25,94.90492294678327,4.3123336417916706e-07
32.0,659.25,81.87396719508993,3.20941990542445e-07
33.0,659.25,70.35778234799962,2.3700589980089374e-07
34.0,659.25,59.71403574690106,1.7072130435753878e-07
35.0,659.25,49.47706347799608,1.1720407301930553e-07
27.0,440.0,84.47377352006751,3.865124026908977e-06
28.0,440.0,68.67923908454857,2.5548805156377417e-06
29.0,440.0,57.82131643304656,1.8109046955722168e-06
30.0,440.0,48.20264753681199,1.2585237906510496e-06
31.0,440.0,42.27599296438462,9.68071151728694e-07
32.0,440.0,36.47127202291456,7.20479230576042e-07
33.0,440.0,31.341315278256097,5.320520011791584e-07
34.0,440.0,26.59999162031421,3.8325042416096913e-07
35.0,440.0,22.039868139053894,2.631101658172079e-07
